app_id,customer_id,channel,product,city,apply_time,decision_time,status,approved_amount,loan_amount,risk_level,reject_reason,is_new_customer,dt
APP001,CUST001,app,现金贷,北京,2026-06-01 09:10:00,2026-06-01 09:12:00,APPROVED,12000,12000,low,,1,2026-06-01
APP002,CUST002,app,现金贷,上海,2026-06-01 09:25:00,2026-06-01 09:27:00,REJECTED,0,0,high,DEVICE_BLACKLIST,1,2026-06-01
APP003,CUST003,web,分期贷,深圳,2026-06-01 10:01:00,2026-06-01 10:05:00,APPROVED,8000,8000,medium,,0,2026-06-01
APP004,CUST004,partner,现金贷,成都,2026-06-01 11:20:00,2026-06-01 11:24:00,APPROVED,15000,15000,low,,1,2026-06-01
APP005,CUST005,partner,分期贷,杭州,2026-06-01 12:30:00,2026-06-01 12:34:00,REJECTED,0,0,high,MULTI_PLATFORM_OVERDUE,0,2026-06-01
APP006,CUST006,app,现金贷,北京,2026-06-02 09:05:00,2026-06-02 09:07:00,APPROVED,10000,10000,low,,0,2026-06-02
APP007,CUST007,web,现金贷,上海,2026-06-02 09:18:00,2026-06-02 09:21:00,APPROVED,18000,18000,medium,,1,2026-06-02
APP008,CUST008,partner,分期贷,广州,2026-06-02 10:44:00,2026-06-02 10:48:00,REJECTED,0,0,high,ANTI_FRAUD_RULE,1,2026-06-02
APP009,CUST009,app,分期贷,深圳,2026-06-02 13:00:00,2026-06-02 13:03:00,PENDING,0,0,medium,MANUAL_REVIEW,0,2026-06-02
APP010,CUST010,web,现金贷,成都,2026-06-02 14:17:00,2026-06-02 14:20:00,APPROVED,6000,6000,low,,1,2026-06-02
APP011,CUST011,partner,现金贷,杭州,2026-06-03 09:40:00,2026-06-03 09:43:00,APPROVED,22000,22000,medium,,0,2026-06-03
APP012,CUST012,app,分期贷,广州,2026-06-03 10:16:00,2026-06-03 10:20:00,REJECTED,0,0,high,HIT_M2_OVERDUE,0,2026-06-03
